provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
Córdoba,2012,10262.5445,32.79133180641779,31296.51628846455
Córdoba,2013,13466.8463,40.85103331144704,32965.74213271222
Córdoba,2014,18559.33436,56.976538710053426,32573.643082192415
Córdoba,2015,23673.0396,73.66153516686742,32137.58652514211
Córdoba,2016,35701.3796,100.0,35701.3796
Córdoba,2017,47944.2215,112.88710833333333,42470.94482961702
Córdoba,2018,78784.378009,151.581675,51974.86965954163
Córdoba,2019,112061.894457,232.75109166666667,48146.667607251824
Córdoba,2020,147450.508703,330.5416833333333,44608.74865040975
Córdoba,2021,242371.14717,490.55485833333336,49407.55209182092
Córdoba,2022,463607.280609,845.8674583333333,54808.50173885103
Córdoba,2023,1014210.32357,1975.006925,51352.24138872323
Córdoba,2024,3069566.48147,6317.741325,48586.453980370905
Córdoba,2025,4151853.42459,8966.166533333333,46305.780839054685
Entre Ríos,2003,619.6999,8.396631393694841,7380.339459290092
Entre Ríos,2004,959.9477,8.767402951109663,10949.054188030703
Entre Ríos,2005,1200.6663,9.612726384123917,12490.382561839933
Entre Ríos,2006,1476.1746,10.660302377959722,13847.398954198574
Entre Ríos,2007,1959.8406,12.18514230002,16083.854843425039
Entre Ríos,2008,2424.2295,14.979653147032298,16183.482195515839
Entre Ríos,2009,2559.2348,17.456561530567843,14660.58934641037
Entre Ríos,2010,3413.7646,21.376348487281444,15969.821047926545
Entre Ríos,2011,5016.2513,26.570964534575943,18878.694800380745
Entre Ríos,2012,5782.3816,32.79133180641779,17633.872372540525
Entre Ríos,2013,7580.8677,40.85103331144704,18557.346254141714
Entre Ríos,2014,10438.78258,56.976538710053426,18321.19468176485
Entre Ríos,2015,13341.7967,73.66153516686742,18112.297917463267
Entre Ríos,2016,17599.1915,100.0,17599.1915
Entre Ríos,2017,24432.6302,112.88710833333333,21643.419306884247
Entre Ríos,2018,41646.466556199994,151.581675,27474.605064365463
Entre Ríos,2019,61385.137549,232.75109166666667,26373.7270186094
Entre Ríos,2020,83306.408976,330.5416833333333,25202.99652857701
Entre Ríos,2021,136966.509866,490.55485833333336,27920.732521403526
Entre Ríos,2022,260723.52087699997,845.8674583333333,30823.212113008838
Entre Ríos,2023,572409.2219479999,1975.006925,28982.643792400875
Entre Ríos,2024,1722848.75469,6317.741325,27270.011006504767
Entre Ríos,2025,2363381.9318999997,8966.166533333333,26358.88953337754
Formosa,2003,462.0248,8.396631393694841,5502.501876489916
Formosa,2004,715.7006,8.767402951109663,8163.199569941245
Formosa,2005,895.1713,9.612726384123917,9312.355977160001
Formosa,2006,1103.2857,10.660302377959722,10349.478475217118
Formosa,2007,1467.5407,12.18514230002,12043.68946924478
Formosa,2008,1820.1736,14.979653147032298,12150.972937318009
Formosa,2009,1927.177,17.456561530567843,11039.843079207541
Formosa,2010,2580.7109,21.376348487281444,12072.739652122897
Formosa,2011,3739.927,26.570964534575943,14075.239892527625
Formosa,2012,4346.0997,32.79133180641779,13253.806602479619
Formosa,2013,5696.4711,40.85103331144704,13944.49696430021
Formosa,2014,7843.41964,56.976538710053426,13766.051461837995
Formosa,2015,10100.2397,73.66153516686742,13711.687758230479
Formosa,2016,13330.9015,100.0,13330.9015
Formosa,2017,18497.353,112.88710833333333,16385.70893797808
Formosa,2018,31610.257069,151.581675,20853.613782140885
Formosa,2019,46814.830798,232.75109166666667,20113.68903267944
Formosa,2020,63309.886913,330.5416833333333,19153.374628747028
Formosa,2021,104085.46771000001,490.55485833333336,21217.90579419227
Formosa,2022,197772.280122,845.8674583333333,23381.001145461178
Formosa,2023,434229.019753,1975.006925,21986.202390303013
Formosa,2024,1298880.2825099998,6317.741325,20559.250777966918
Formosa,2025,1788419.3409600002,8966.166533333333,19946.309655427773
Jujuy,2003,360.5749,8.396631393694841,4294.280445260003
Jujuy,2004,558.5494,8.767402951109663,6370.75087246111
Jujuy,2005,698.6125,9.612726384123917,7267.579166237446
Jujuy,2006,856.0237,10.660302377959722,8030.013311534552
Jujuy,2007,1134.6031,12.18514230002,9311.365202506808
Jujuy,2008,1400.2203,14.979653147032298,9347.48145538607
Jujuy,2009,1467.517,17.456561530567843,8406.678471188383
Jujuy,2010,1955.0301,21.376348487281444,9145.762669256674
Jujuy,2011,2918.7261,26.570964534575943,10984.644897636123
Jujuy,2012,3323.1174,32.79133180641779,10134.133677820348
Jujuy,2013,4354.3592,40.85103331144704,10659.116421370538
Jujuy,2014,6006.96654,56.976538710053426,10542.877254388357
Jujuy,2015,7608.1348,73.66153516686742,10328.5042631342
Jujuy,2016,10036.9783,100.0,10036.9783
Jujuy,2017,14023.8566,112.88710833333333,12422.903560068455
Jujuy,2018,24360.7213542,151.581675,16071.02003207182
Jujuy,2019,35919.631154,232.75109166666667,15432.637027302164
Jujuy,2020,48735.843183,330.5416833333333,14744.235187382568
Jujuy,2021,80038.82378400001,490.55485833333336,16315.978208009798
Jujuy,2022,152655.06508600002,845.8674583333333,18047.161358682133
Jujuy,2023,333904.290524,1975.006925,16906.487075937723
Jujuy,2024,1002408.33324,6317.741325,15866.561824450766
Jujuy,2025,1375777.53554,8966.166533333333,15344.099737890216
